"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUSP6",279.644250850467,-0.922672753073743,0.143398962877871,-6.43430562227675,1.24039057992816e-10,2.69201967561808e-06
"SGO1",10.7636607419948,2.52515117535302,0.435786146882655,5.79447326037415,6.85359418705028e-09,4.6849276772222e-05
"NAT16",21.1597782240675,-1.88051127161684,0.326728520758552,-5.7555773436948,8.63461766064083e-09,4.6849276772222e-05
"VGF",898.42012297733,-2.44209777109789,0.420803210791024,-5.80342000363363,6.49757598286262e-09,4.6849276772222e-05
"MPO",29.1794296849542,-2.0919799387004,0.369015174756677,-5.66908919146705,1.43558623664491e-08,5.19275468231741e-05
"ANAPC16",340.185399998613,0.637554714429148,0.111875424260242,5.69879147851171,1.20659697953776e-08,5.19275468231741e-05
"CRH",14.1574230352329,-2.45704795692219,0.445309976135553,-5.51761264870981,3.43635812244271e-08,0.00010654182904482
"GNRH1",33.3450513425989,1.50549942611312,0.276773693739553,5.43945996374141,5.34423168146325e-08,0.000144982325228496
"SELE",34.0291448837844,-2.69138810672311,0.497193099748676,-5.41316463982218,6.19205075554204e-08,0.000149317863941699
"RBM48",256.275863346176,0.755088473631938,0.140270165996541,5.3831010198602,7.32134213787137e-08,0.000158895088418222
"KCNE5",16.1745753251339,-1.30331143858761,0.24333801102749,-5.35597144516961,8.50979487074098e-08,0.00016789825279972
"RABEPK",154.720604531653,-0.501500605629192,0.0940389208053447,-5.33290473066221,9.66540273594794e-08,0.000174806862981898
"TXN2",490.465820081363,-0.352257758427172,0.0664428129246006,-5.30166835090072,1.14749161235644e-07,0.000178433764848821
"KLF15",780.629470807793,1.21316911628375,0.228852036506593,5.30110692831346,1.15102645158895e-07,0.000178433764848821
"FAM86B3P",28.584853846144,-1.32919222173479,0.251956357466354,-5.27548594169642,1.32404761858065e-07,0.000178795158669753
"TRAPPC1",354.884056930125,-0.548058823836862,0.104091146053159,-5.26518195463973,1.40050578140617e-07,0.000178795158669753
"DHRS7B",127.78179775643,-0.504968645417785,0.0958452504953761,-5.26858287508098,1.37480971011788e-07,0.000178795158669753
"PRKX",294.87115522784,1.12580926480227,0.214818545431167,5.24074521844767,1.59929404152406e-07,0.000192830436573315
"ACO2",2478.38410549703,-0.488604174754948,0.0937746989587286,-5.21040515384634,1.8842869017487e-07,0.000215235150677116
"CABYR",152.873242867474,0.545847338484096,0.105482565563868,5.17476357885507,2.28199751738127e-07,0.000247630960598629
"FAM86HP",26.4724780108437,-1.2192215779091,0.237063308621452,-5.14302101408691,2.70355368455619e-07,0.000276631776518819
"TRAF3IP2-AS1",309.178666784494,0.569537173230644,0.110887862203647,5.13615432665373,2.80417411575082e-07,0.000276631776518819
"VTRNA2-1",5.28298525630938,3.02568213462512,0.590598394345939,5.12307883595912,3.00586596113601e-07,0.000282456326384036
"RPH3A",2242.23273654387,-1.54726752560208,0.302446539151096,-5.11583809140264,3.1235091154296e-07,0.000282456326384036
"GABRR2",14.2614716955743,1.52524354252031,0.299580579788954,5.09126307050612,3.55686127907772e-07,0.000308778241359295
"SMAD4",1057.60437843904,0.560580307729831,0.110432165385461,5.0762411999542,3.84974543884905e-07,0.000321350097151311
"ABCA11P",117.806211687035,-0.760507175387357,0.150963900074327,-5.03767572918375,4.71218872693021e-07,0.000378772710890986
"SNRNP48",153.704676514981,0.728904917071663,0.145137835542284,5.02215645112958,5.10945358304566e-07,0.000396037396831571
"RAD52",350.092357461168,0.709805887047856,0.142645681306324,4.97600684821004,6.49093517435621e-07,0.000485768158927769
"PRR34-AS1",62.7606445235396,1.37553818378656,0.276823929546041,4.96900028130618,6.72989723958746e-07,0.000486863199302556
"EXOC3L1",55.3569806823972,-0.831010296881011,0.167664579281949,-4.95638554332673,7.18166412189355e-07,0.000487073926367049
"GPCPD1",361.10139672504,-0.813700811550826,0.163968184675779,-4.96255302917327,6.95725626857175e-07,0.000487073926367049
"CYP2E1",81.2706211017498,-0.747173842003794,0.151618613267393,-4.92798229651453,8.30831431483922e-07,0.000531264343762504
"LOC100506136",28.1603194949534,1.74203589251112,0.353523247975871,4.92764168264832,8.32280684141599e-07,0.000531264343762504
"DNAH11",69.7522292120848,1.10885379479647,0.225736792422434,4.91215358780064,9.00814440304409e-07,0.000548053627302901
"RNASEH2C",378.278505827017,0.587366817887712,0.119617842850048,4.91036122950344,9.09087710588603e-07,0.000548053627302901
"DHRS11",136.647796636232,-1.09532527031944,0.223870551161011,-4.89267241554996,9.94759041621182e-07,0.000583493391359581
"ADCYAP1",87.7542570197451,-1.97787891194843,0.409601484587737,-4.8287884355184,1.37366254908667e-06,0.000784542060600739
"TEKT2",29.810112360715,0.964251749545069,0.200009969930327,4.82101842163651,1.42827165553176e-06,0.000794814865128351
"BAALC-AS1",80.6158290899361,-1.49772160179844,0.313234070041406,-4.78147732014098,1.74011638057454e-06,0.000944143645190231
"LINC01546",8.41827782774528,2.00885332582377,0.420629711730513,4.77582365154174,1.78973185142749e-06,0.000947379277354411
"TARBP1",880.968967430124,-0.840422707753087,0.176641410632956,-4.75778983388785,1.95724117815225e-06,0.00101138107831996
"RBM14",925.068909010314,0.835316751943857,0.176606997202424,4.72980552965538,2.24735006082797e-06,0.00111525947679345
"LOC101928238",24.789814929565,-1.04256351689629,0.220481677899981,-4.72857212819852,2.26104303455337e-06,0.00111525947679345
"C2orf16",67.5656847758591,-0.874232972899064,0.185681122723536,-4.7082490674118,2.49853696285408e-06,0.00118644927006578
"MED29",1105.96830937506,-0.515053834625058,0.109424492453785,-4.70693373188445,2.51470609699239e-06,0.00118644927006578
"HES5",108.818808458032,-1.97018104395612,0.419018649926547,-4.70189344627377,2.57760009349358e-06,0.00119024797508705
"TUBB1",50.7422770584671,0.985624334012398,0.210247923093912,4.68791472233544,2.76002977544732e-06,0.00124793596284444
"HMGB3",107.608764802939,-0.929874281235602,0.19886170392453,-4.67598468123605,2.925464456759e-06,0.00128896482157994
"STARD10",415.184801767195,0.632023842867382,0.135252602347936,4.67291447185251,2.96955448919491e-06,0.00128896482157994
"SST",156.038507762497,-2.07019921212837,0.445533261563874,-4.6465648936327,3.37507994173881e-06,0.00140864153799149
"NEAT1",24615.061273027,1.37732178641941,0.296239520124043,4.64935193603705,3.32979619737324e-06,0.00140864153799149
"FAAHP1",18.1254449862069,1.59481047187982,0.34369890822837,4.64013831204883,3.4817606453658e-06,0.00142574813747875
"SFTPA1",14.2934335296969,-1.58182601835841,0.341274722519111,-4.63505180425377,3.56848101972759e-06,0.00143419895502126
"SFN",33.1746692066793,-3.16414244605617,0.684372340080744,-4.62342245696671,3.77459884270726e-06,0.00148945670333228
"PCYOX1L",201.97610500823,-0.908116352822816,0.197085110388894,-4.60773698749183,4.07075119361809e-06,0.00154995637114199
"ELANE",7.55772681032186,-2.35689475867104,0.511444388572473,-4.60831091577626,4.05953311899532e-06,0.00154995637114199
"KPTN",127.722306482895,0.714792920971649,0.155551933012154,4.59520436120714,4.32325350145223e-06,0.00159029780918674
"C7orf61",58.0370046384553,1.67396754408294,0.364276127572267,4.59532595572256,4.32073308318823e-06,0.00159029780918674
"LYRM9",271.030500219941,-1.12332306951494,0.245236041774941,-4.58057902657653,4.63690360916134e-06,0.00167724531716047
"RAF1",961.860978818314,0.346925957247868,0.0761270915622078,4.55719442485695,5.18414324647109e-06,0.00181837062934686
"KREMEN2",102.0299132777,-0.91293897845439,0.200684534906498,-4.54912471895129,5.38695104743616e-06,0.00181837062934686
"ABCC12",29.5388794242598,-1.68752611200526,0.371031378783323,-4.5482032208137,5.41058757807305e-06,0.00181837062934686
"MDH1B",37.5961122430097,-1.04210146017508,0.229217767455506,-4.54633805984243,5.45873339605264e-06,0.00181837062934686
"FAM174A",204.95877288767,-0.596053372235883,0.131184834810652,-4.54361491628364,5.52976369796307e-06,0.00181837062934686
"GJA9-MYCBP",16.4730165556843,1.15224412570702,0.253586719842754,4.5437873340588,5.52524025034558e-06,0.00181837062934686
"PCSK1",351.171624131456,-1.85461987804386,0.410060772491147,-4.52279272356855,6.10289984020571e-06,0.00189882946359136
"FAM162A",246.869642650903,-0.710952739637993,0.157219185104138,-4.52204824218543,6.12440964158849e-06,0.00189882946359136
"FIBP",430.210984603201,-0.621899864928062,0.13737200341852,-4.52712233535219,5.97923290126698e-06,0.00189882946359136
"PPEF1",35.1474257498038,-1.64427889855997,0.36317940254675,-4.52745636737566,5.96979223602218e-06,0.00189882946359136
"CCDC144CP",285.793723974698,0.810365772066553,0.179572233029999,4.51275655702947,6.39904568092026e-06,0.0019560350480706
"HP1BP3",2412.55941769225,0.443498054546888,0.0983931236062053,4.50740903726039,6.56240491895473e-06,0.00197810936050103
"NFKBIA",758.582501000221,0.693298435646758,0.154205305283017,4.4959441205627,6.92619258204348e-06,0.00205916654257657
"LINC01219",8.51659269690809,-2.33690460029496,0.520237951600915,-4.49199177627018,7.05601488736493e-06,0.00206941474460109
"TFCP2L1",56.5542770464039,1.30887983080139,0.292304352887373,4.47779794543707,7.54169301526013e-06,0.00207565173265414
"USP31",2128.69601571729,0.582991900177414,0.130201098320253,4.47762659223843,7.54774712467658e-06,0.00207565173265414
"TFDP2",809.249106583833,0.47074309279224,0.10513741179088,4.47740803938139,7.55547559690721e-06,0.00207565173265414
"F8",167.847500163832,-0.770129761055776,0.171612656114991,-4.4876046935591,7.20284187658628e-06,0.00207565173265414
"SLC16A6",47.8292416868697,-1.28337506419778,0.286130540504189,-4.48527815987889,7.28188745678281e-06,0.00207565173265414
"DNAJC9",219.558783053408,0.437382330632623,0.0979548990364387,4.46513992597674,8.00164391709167e-06,0.00217074597415801
"HDAC4",1969.63090322265,0.492825316207892,0.110446874879247,4.46210285937655,8.11592495106724e-06,0.00217456690386435
"EGR1",609.054489764522,-1.89713502233496,0.42547250898254,-4.45888978085025,8.23852692730754e-06,0.00218049695004092
"GLUD2",682.248102708506,-0.553007592503198,0.12468952829684,-4.43507646597788,9.20396137854205e-06,0.00240666956383733
"ZBTB40",866.921069878542,0.487350023257137,0.110100931941247,4.42639326175007,9.58217630814375e-06,0.0024757377668529
"GPR3",33.3709536908837,-1.8304774226309,0.414243764885295,-4.41884121813581,9.92315155610186e-06,0.00250421114211719
"MRPL2",176.77077622641,-0.498272258897623,0.112710500141871,-4.42081490429409,9.83293751249547e-06,0.00250421114211719
"HINT2",120.719640922441,-0.568226260190785,0.128719113216146,-4.41446686504601,1.01259223288465e-05,0.00252601025635581
"ZFYVE19",250.090645075303,0.441119045925928,0.10011235586521,4.40623979041951,1.05180523620082e-05,0.00259401466378027
"ABCC2",23.8685914281428,1.3455058735788,0.307435086101488,4.37655275668384,1.20571018314909e-05,0.00292581085167016
"TECTA",125.102062941729,-0.642379135895272,0.14689363040853,-4.37309047443877,1.2249992619082e-05,0.00292581085167016
"IDH2",1193.02373195642,-0.707769185502709,0.161902070558551,-4.37158822651839,1.23345988411609e-05,0.00292581085167016
"SLC7A9",18.2890953843564,1.02263254959669,0.233991295824765,4.37038713765888,1.24026447197924e-05,0.00292581085167016
"AUP1",481.850158703776,0.446394427469101,0.102198823647937,4.36790181662834,1.25445860732411e-05,0.00292747474782314
"LINC01257",10.0659260791359,-2.24391530480101,0.515265942882314,-4.35486826909015,1.3314696277274e-05,0.00299184615691483
"FAM118A",233.399449328254,0.936525725104213,0.215206814558538,4.35174753655151,1.35056725900882e-05,0.00299184615691483
"SCN11A",27.8950856969973,-1.08444830415669,0.248966190895199,-4.35580550217433,1.32578462387729e-05,0.00299184615691483
"CREBBP",3432.21394138214,0.395349274163777,0.0908497568034759,4.35168225071849,1.35096955894417e-05,0.00299184615691483
"KIAA1524",62.6822866485083,-0.782863025103187,0.17978004739077,-4.35456012202265,1.33334383953698e-05,0.00299184615691483
"CDC26",20.2687019557002,0.746525915283543,0.171781321447471,4.34579213265525,1.38773941811585e-05,0.0030422331910473
"ADAMTS2",174.765128143647,1.34162996340316,0.309939474691485,4.32868373652185,1.50003159757603e-05,0.00325551857621927
"SPECC1L",458.369634657088,0.521297075918563,0.120978201570182,4.30901657614861,1.63982078862303e-05,0.00345524568694034
"CSF3",24.2622544080871,-2.46312046627642,0.571166124304057,-4.31244144473314,1.61461651656493e-05,0.00345524568694034
"SLC22A18",49.6126548714815,-0.920076987609122,0.213458052179278,-4.31034096964575,1.63003017189268e-05,0.00345524568694034
"ADORA2A",13.0415489442386,1.73241354375479,0.402406630561477,4.30513170555255,1.66886418087743e-05,0.00348263070361373
"DTD1",304.418316120156,-0.589852424077299,0.137255519929188,-4.29747688385582,1.72753269871356e-05,0.00353704171322457
"TOP3B",239.827911278844,0.609614649035628,0.141821448674806,4.29846581551611,1.71984419711867e-05,0.00353704171322457
"ESYT1",745.676174084627,-0.376441769671513,0.0876835667089951,-4.29318495814445,1.76128164383087e-05,0.00357243883327676
"PRKAG1",266.984020864656,-0.460786300834961,0.107836339547696,-4.27301504082632,1.9284744298836e-05,0.00384556759939834
"F3",927.601134921814,-1.46087765187711,0.3419113389136,-4.27267974358193,1.93137754381615e-05,0.00384556759939834
"ALDOC",6291.94830715647,-0.687962320096533,0.161233483580896,-4.26687003727336,1.98234562399733e-05,0.00391116791614673
"LINC00463",14.6914382240036,1.87956534405563,0.440740400216906,4.26456331920247,2.00293539298092e-05,0.0039161898048527
"PARP16",96.1633765557346,0.425919232550757,0.100010857072448,4.2587299521113,2.05591657532104e-05,0.00398388905662433
"ACP2",340.572338255193,-0.570035541790412,0.133974546338931,-4.25480479216048,2.09231472624431e-05,0.00401854039855577
"SLC25A3",1490.56535865998,-0.506147111083885,0.119361670112348,-4.24044930510339,2.23072813376669e-05,0.00424679760413495
"EOGT",153.793562920387,-0.59913426349818,0.14150384638702,-4.23404931240893,2.29520580902971e-05,0.00425750869003178
"KDELC1",49.2873577826367,0.652522196524442,0.153984024479744,4.23759671647157,2.25925107436351e-05,0.00425750869003178
"VPS25",142.268267744529,-0.456176010111855,0.107696957154937,-4.23573722194939,2.27803060984576e-05,0.00425750869003178
