"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","interleukin-8 receptor activity","GO:0004918","true","0.04933402241925736","1.306853473160023","2","172","2","20208","CXCR1,CXCR2"
"GO:MF","linoleate 9S-lipoxygenase activity","GO:1990136","true","0.04933402241925736","1.306853473160023","2","172","2","20208","ALOX15B,ALOX12B"
"GO:BP","multicellular organismal process","GO:0032501","true","0.000001716494957264151","5.765357468110978","7337","174","100","20972","VGF,MPO,CRH,GNRH1,KCNE5,KLF15,PRKX,GABRR2,DNAH11,ADCYAP1,HES5,SST,SFTPA1,SFN,ELANE,PPEF1,TFCP2L1,EGR1,GPR3,ABCC2,SCN11A,ADAMTS2,CSF3,ADORA2A,F3,FOXJ1,HSPB7,DUSP4,CARTPT,LBX2,IL33,KRT5,MAS1,AHSG,SPRED3,NEUROD6,AKR1C2,GADD45A,TJP3,CTSG,TSHR,RDH12,KAZALD1,CHRNA5,HIF3A,SCG2,BAAT,IRX5,SLC38A2,OR7A5,SLC5A3,PLK4,KRT81,LRIT1,FAM3D,NRN1,RFX6,FOXO4,CD244,PCDHGC5,EPS8L3,CITED1,GMNC,CHRNB4,ALOX15B,SERPINF2,ATOH7,DLX4,AQP8,HHLA2,PROK2,NKG7,SPDEF,MSC,TAC1,MCHR1,CTRB1,SLC4A9,SMTN,OIT3,ALOX12B,ADRA1D,SLC6A9,ANGPTL4,RGS4,DNAJB1,HCRTR1,HSPA1A,TUBB3,SEMA3G,TCP11,CXCR2,COL8A2,TRPA1,DUSP5,PAK1,CD38,ZIC5,OTOGL,KCNE2"
"GO:BP","cellular response to interleukin-8","GO:0098759","true","0.0009356536759841286","3.0288848718190042","3","174","3","20972","EGR1,CXCR1,CXCR2"
"GO:BP","response to interleukin-8","GO:0098758","false","0.0009356536759841286","3.0288848718190042","3","174","3","20972","EGR1,CXCR1,CXCR2"
"GO:BP","export from cell","GO:0140352","true","0.003543603124131796","2.4505549241019255","914","174","23","20972","VGF,CRH,KCNE5,RPH3A,ADCYAP1,ABCC2,SCN11A,ADORA2A,CARTPT,ARL4D,ATP12A,SCG2,SLC38A2,FAM3D,RFX6,CHRNB4,NKG7,KMO,PAK1,CD38,EXOC3L4,ABCB11,KCNE2"
"GO:BP","circulatory system process","GO:0003013","true","0.004046116439405394","2.392961623230169","595","174","18","20972","CRH,KCNE5,ABCC2,SCN11A,ADORA2A,HSPB7,CARTPT,MAS1,TJP3,CTSG,SLC38A2,SLC5A3,SERPINF2,ADRA1D,SLC6A9,RGS4,CD38,KCNE2"
"GO:BP","amine transport","GO:0015837","true","0.011446349657484275","1.9413329916098272","85","174","7","20972","CRH,ADORA2A,CARTPT,SLC38A2,AQP8,RGS4,KMO"
"GO:BP","epithelial cell differentiation","GO:0030855","true","0.024212923355622796","1.6159527726991219","745","174","19","20972","KLF15,PRKX,HES5,SFN,TFCP2L1,FOXJ1,KRT5,SPRED3,AKR1C2,TJP3,OVOL3,PLK4,KRT81,RFX6,CITED1,GMNC,ALOX15B,SPDEF,SLC39A2"
"GO:BP","transport","GO:0006810","false","0.03275273682752405","1.4847524043918678","4370","174","60","20972","VGF,CRH,SELE,KCNE5,KLF15,RPH3A,GABRR2,DNAH11,ADCYAP1,SFTPA1,SFN,ELANE,ABCC12,SLC16A6,ABCC2,SLC7A9,SCN11A,ADORA2A,CARTPT,IL33,AHSG,COLEC10,GCKR,ARL4D,PRTN3,ABCC11,ATP12A,SERPINA5,CHRNA5,SCG2,STON1,SLC38A2,SLC23A3,SLC5A3,FAM3D,RFX6,CITED1,GMNC,CHRNB4,AQP8,NKG7,CLEC4F,MCHR1,SLC4A9,CXCR1,ALOX12B,SLC6A9,RGS4,HSPA1A,RRAD,KMO,CXCR2,TRPA1,PAK1,CD38,SVOP,SLC39A2,EXOC3L4,ABCB11,KCNE2"
