"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SGO1",10.7636607419948,2.52515117535302,0.435786146882655,5.79447326037415,6.85359418705028e-09,4.6849276772222e-05
"NAT16",21.1597782240675,-1.88051127161684,0.326728520758552,-5.7555773436948,8.63461766064083e-09,4.6849276772222e-05
"VGF",898.42012297733,-2.44209777109789,0.420803210791024,-5.80342000363363,6.49757598286262e-09,4.6849276772222e-05
"MPO",29.1794296849542,-2.0919799387004,0.369015174756677,-5.66908919146705,1.43558623664491e-08,5.19275468231741e-05
"CRH",14.1574230352329,-2.45704795692219,0.445309976135553,-5.51761264870981,3.43635812244271e-08,0.00010654182904482
"GNRH1",33.3450513425989,1.50549942611312,0.276773693739553,5.43945996374141,5.34423168146325e-08,0.000144982325228496
"SELE",34.0291448837844,-2.69138810672311,0.497193099748676,-5.41316463982218,6.19205075554204e-08,0.000149317863941699
"KCNE5",16.1745753251339,-1.30331143858761,0.24333801102749,-5.35597144516961,8.50979487074098e-08,0.00016789825279972
"KLF15",780.629470807793,1.21316911628375,0.228852036506593,5.30110692831346,1.15102645158895e-07,0.000178433764848821
"FAM86B3P",28.584853846144,-1.32919222173479,0.251956357466354,-5.27548594169642,1.32404761858065e-07,0.000178795158669753
"PRKX",294.87115522784,1.12580926480227,0.214818545431167,5.24074521844767,1.59929404152406e-07,0.000192830436573315
"FAM86HP",26.4724780108437,-1.2192215779091,0.237063308621452,-5.14302101408691,2.70355368455619e-07,0.000276631776518819
"VTRNA2-1",5.28298525630938,3.02568213462512,0.590598394345939,5.12307883595912,3.00586596113601e-07,0.000282456326384036
"RPH3A",2242.23273654387,-1.54726752560208,0.302446539151096,-5.11583809140264,3.1235091154296e-07,0.000282456326384036
"GABRR2",14.2614716955743,1.52524354252031,0.299580579788954,5.09126307050612,3.55686127907772e-07,0.000308778241359295
"PRR34-AS1",62.7606445235396,1.37553818378656,0.276823929546041,4.96900028130618,6.72989723958746e-07,0.000486863199302556
"LOC100506136",28.1603194949534,1.74203589251112,0.353523247975871,4.92764168264832,8.32280684141599e-07,0.000531264343762504
"DNAH11",69.7522292120848,1.10885379479647,0.225736792422434,4.91215358780064,9.00814440304409e-07,0.000548053627302901
"DHRS11",136.647796636232,-1.09532527031944,0.223870551161011,-4.89267241554996,9.94759041621182e-07,0.000583493391359581
"ADCYAP1",87.7542570197451,-1.97787891194843,0.409601484587737,-4.8287884355184,1.37366254908667e-06,0.000784542060600739
"BAALC-AS1",80.6158290899361,-1.49772160179844,0.313234070041406,-4.78147732014098,1.74011638057454e-06,0.000944143645190231
"LINC01546",8.41827782774528,2.00885332582377,0.420629711730513,4.77582365154174,1.78973185142749e-06,0.000947379277354411
"LOC101928238",24.789814929565,-1.04256351689629,0.220481677899981,-4.72857212819852,2.26104303455337e-06,0.00111525947679345
"HES5",108.818808458032,-1.97018104395612,0.419018649926547,-4.70189344627377,2.57760009349358e-06,0.00119024797508705
"SST",156.038507762497,-2.07019921212837,0.445533261563874,-4.6465648936327,3.37507994173881e-06,0.00140864153799149
"NEAT1",24615.061273027,1.37732178641941,0.296239520124043,4.64935193603705,3.32979619737324e-06,0.00140864153799149
"FAAHP1",18.1254449862069,1.59481047187982,0.34369890822837,4.64013831204883,3.4817606453658e-06,0.00142574813747875
"SFTPA1",14.2934335296969,-1.58182601835841,0.341274722519111,-4.63505180425377,3.56848101972759e-06,0.00143419895502126
"SFN",33.1746692066793,-3.16414244605617,0.684372340080744,-4.62342245696671,3.77459884270726e-06,0.00148945670333228
"ELANE",7.55772681032186,-2.35689475867104,0.511444388572473,-4.60831091577626,4.05953311899532e-06,0.00154995637114199
"C7orf61",58.0370046384553,1.67396754408294,0.364276127572267,4.59532595572256,4.32073308318823e-06,0.00159029780918674
"LYRM9",271.030500219941,-1.12332306951494,0.245236041774941,-4.58057902657653,4.63690360916134e-06,0.00167724531716047
"ABCC12",29.5388794242598,-1.68752611200526,0.371031378783323,-4.5482032208137,5.41058757807305e-06,0.00181837062934686
"MDH1B",37.5961122430097,-1.04210146017508,0.229217767455506,-4.54633805984243,5.45873339605264e-06,0.00181837062934686
"GJA9-MYCBP",16.4730165556843,1.15224412570702,0.253586719842754,4.5437873340588,5.52524025034558e-06,0.00181837062934686
"PCSK1",351.171624131456,-1.85461987804386,0.410060772491147,-4.52279272356855,6.10289984020571e-06,0.00189882946359136
