"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SGO1",2.09600855712636,3.16868219488941,8.72446928792167,2.26461676810127e-08,0.000614390529185875,8.95873420608692
"KLF15",1.18404112974148,9.49343103138527,8.19159550399511,6.30145218006268e-08,0.000662163573868525,8.07771062740436
"RPH3A",-1.62713487822442,10.7428716179661,-8.07522390217365,7.91877788243215e-08,0.000662163573868525,7.87927320830048
"VGF",-2.32693869770714,9.15965153284218,-7.57315862153372,2.16627625753809e-07,0.00117542149734017,6.99803777873028
"DHRS11",-1.10575630747102,6.93720422041509,-7.04779780552389,6.43852523992564e-07,0.00249538842513118,6.03213029806003
"CRH",-2.22810228451518,3.25643341483392,-6.47478576848794,2.20265496886708e-06,0.00398899077615396,4.9282974924502
"KCNE5",-1.21669784241284,3.98427105318471,-6.1332880250259,4.6774621324742e-06,0.00604283560257262,4.24645036180509
"LRIT1",1.61639730613091,1.3529050201532,6.10578277968911,4.97307845696664e-06,0.00612150912971857,4.19078653255052
"NEUROD6",-1.84931135108602,6.77233580137823,-6.01054412213818,6.15299575588302e-06,0.00612150912971857,3.99721383046644
"GNRH1",1.45427042812927,4.99594642228761,5.9998816712555,6.30183928350712e-06,0.00612150912971857,3.9754627201043
"PRKX",1.0597453490272,8.1822131369871,5.95906411168606,6.90653267485786e-06,0.00612150912971857,3.89204949722009
"ABCC12",-1.69316149109756,4.62291204796154,-5.95577830484166,6.95772198653059e-06,0.00612150912971857,3.88532468897141
"SLC38A2",1.1028159629582,10.6730445034523,5.86758775731453,8.48683504121099e-06,0.00627182293293755,3.70427846066815
"FAM86HP",-1.13519969067156,4.49902916935885,-5.76401896464141,1.07290519068181e-05,0.00709949215199942,3.49032477949501
"NAT16",-1.63388823032875,4.07486975635933,-5.73385959384609,1.14896828357544e-05,0.00742178798414328,3.42775564918873
"IL3",-1.24066522696486,0.652018622731051,-5.59987506227822,1.55947377294792e-05,0.00900181350214407,3.14838462556235
"GTSE1-AS1",1.16431747983429,3.87812683420475,5.57041568403468,1.66824377610599e-05,0.00920753611461118,3.08665877078586
"LOC101928505",-1.72856252489579,1.60530367642258,-5.56297280320327,1.69692888216203e-05,0.00920753611461118,3.07104706575372
"LOC105376772",1.7362925182139,1.22561896887095,5.50507109140511,1.93797546010663e-05,0.00956077662796463,2.94936879170749
"FAM53B-AS1",1.19786128501438,5.45244716203235,5.48493354343392,2.02976129754922e-05,0.00979816016735783,2.90695723772627
"MPO",-2.039386515662,4.43001021161408,-5.47879998091584,2.05858875613489e-05,0.00979816016735783,2.8940299444905
"BEX5",-1.19829147505357,7.27183486372397,-5.46792773981443,2.11071699837336e-05,0.00987306071825331,2.8711044936873
"THCAT155",-1.11929798941325,5.90218275636974,-5.44378000450103,2.23136017243437e-05,0.0101651972423294,2.82013712168512
"LOC102724596",1.45916735493694,4.741295877245,5.43320705501817,2.28637227303494e-05,0.0101687343881046,2.79780026950572
"PPEF1",-1.53593351076263,4.67917937363304,-5.35892635536991,2.71387888321002e-05,0.0111548425053356,2.64051658867171
"AHSG",-1.50586526445595,1.33504092022258,-5.35721208860445,2.72465290814266e-05,0.0111548425053356,2.6368795312548
"SAA2",-1.36334859162492,0.970989755134784,-5.3253724422341,2.93286784982005e-05,0.0112050713303784,2.56926914708051
"MMP10",1.06873856269455,0.5829483069243,5.26856859740591,3.3454138509423e-05,0.0112050713303784,2.44837908200709
"LBX2",1.35793311235538,3.83269956973371,5.24139175146557,3.56320263028816e-05,0.0112591923156853,2.39042215553097
"NRN1",-1.21749265731606,9.35919310510805,-5.23181653419203,3.64332437190318e-05,0.0112591923156853,2.36998419387013
"SH2D6",1.28204903780309,4.99725050214286,5.22444853834283,3.7062216534015e-05,0.0112591923156853,2.35425114510891
"PCSK1",-1.8873553863753,7.84667084163607,-5.20634624179815,3.86548030237672e-05,0.0113479611141391,2.3155737325177
"PNMA3",-1.30360792054551,9.34576105148476,-5.1669804920263,4.23624057442295e-05,0.0118771022911512,2.23135280167532
"CLEC2L",-1.02196483682055,7.24974236205063,-5.15359713938335,4.37035581978074e-05,0.0119765407465305,2.20268547864213
"LINC00638",1.3047147184701,5.08241823925668,5.13669005918533,4.54596618116666e-05,0.0122110952965398,2.16644579261589
"VTRNA2-1",2.16960512170771,2.17767415972269,5.1306407404312,4.61052518378641e-05,0.012263092964326,2.15347272742039
"C21orf62",1.15607432388414,5.91817380375499,5.10656067872346,4.87687227456772e-05,0.0124873262637897,2.10179788278229
"ABCC2",1.42320339884941,4.48822307700876,5.07833319425396,5.20905720139136e-05,0.0128067841758441,2.04115481410879
"CHRNA5",1.31607652383206,2.97537891611633,5.07751678237186,5.21899924874612e-05,0.0128067841758441,2.0393997832257
"GJA9-MYCBP",1.08469352352833,4.15427436498445,5.06388486500961,5.38787857740262e-05,0.0130511737325833,2.0100865795616
"SPACA6P-AS",1.11800588553948,5.23036834257103,5.05325708968869,5.5233785748329e-05,0.0131553207852919,1.98722181116195
"NEAT1",1.39560719310568,14.4850861994802,5.03154218425237,5.81107946634229e-05,0.0137090944279884,1.94047316213043
"MDH1B",-1.05118649785729,5.07158182220749,-5.02383396063162,5.91682125853815e-05,0.0137368126761763,1.92386877198434
