#node	identifier	category	term ID	term description
ABCC11	9606.ENSP00000378230	GO Process	GO:0006810	Transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0006811	Ion transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0006820	Anion transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0006862	Nucleotide transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0006869	Lipid transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0009987	Cellular process
ABCC11	9606.ENSP00000378230	GO Process	GO:0010876	Lipid localization
ABCC11	9606.ENSP00000378230	GO Process	GO:0015698	Inorganic anion transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015711	Organic anion transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015718	Monocarboxylic acid transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015721	Bile acid and bile salt transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015748	Organophosphate ester transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015849	Organic acid transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015850	Organic hydroxy compound transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015865	Purine nucleotide transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0015931	Nucleobase-containing compound transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0033036	Macromolecule localization
ABCC11	9606.ENSP00000378230	GO Process	GO:0034220	Ion transmembrane transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0042908	Xenobiotic transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0046942	Carboxylic acid transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0051179	Localization
ABCC11	9606.ENSP00000378230	GO Process	GO:0051234	Establishment of localization
ABCC11	9606.ENSP00000378230	GO Process	GO:0055085	Transmembrane transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0071702	Organic substance transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0071705	Nitrogen compound transport
ABCC11	9606.ENSP00000378230	GO Process	GO:0071715	Icosanoid transport
