#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC11	ABCC12	9606.ENSP00000378230	9606.ENSP00000311030	0	0	0.068	0.939	0.495	0.300	0	0.098	0.663
ABCC12	ABCC11	9606.ENSP00000311030	9606.ENSP00000378230	0	0	0.068	0.939	0.495	0.300	0	0.098	0.663
ADCYAP1	GNRH1	9606.ENSP00000462647	9606.ENSP00000276414	0	0	0	0	0	0	0	0.475	0.475
ADCYAP1	CRH	9606.ENSP00000462647	9606.ENSP00000276571	0	0	0	0	0.133	0	0.400	0.636	0.794
ADCYAP1	GAP43	9606.ENSP00000462647	9606.ENSP00000377372	0	0	0	0	0.182	0	0	0.435	0.518
ADCYAP1	BDNF	9606.ENSP00000462647	9606.ENSP00000414303	0	0	0	0	0	0	0	0.595	0.595
ADCYAP1	TSHR	9606.ENSP00000462647	9606.ENSP00000441235	0	0	0	0	0.043	0	0.900	0.177	0.914
ADCYAP1	ADORA2A	9606.ENSP00000462647	9606.ENSP00000480012	0	0	0	0	0	0	0.900	0.161	0.912
ADORA2A	HSPB3	9606.ENSP00000480012	9606.ENSP00000303394	0	0	0	0	0	0	0	0.412	0.412
ADORA2A	PDE10A	9606.ENSP00000480012	9606.ENSP00000355847	0	0	0	0	0.110	0.046	0	0.508	0.546
ADORA2A	SFTPA1	9606.ENSP00000480012	9606.ENSP00000397082	0	0	0	0	0.055	0	0.500	0.053	0.513
ADORA2A	BDNF	9606.ENSP00000480012	9606.ENSP00000414303	0	0	0	0	0.057	0	0	0.491	0.500
ADORA2A	ADCYAP1	9606.ENSP00000480012	9606.ENSP00000462647	0	0	0	0	0	0	0.900	0.161	0.912
AHSG	SAA2	9606.ENSP00000273784	9606.ENSP00000436126	0	0	0	0	0.062	0	0	0.563	0.572
AKR1C2	DHRS11	9606.ENSP00000370129	9606.ENSP00000482704	0	0	0	0	0.104	0.045	0.098	0.471	0.537
ATOH7	HES5	9606.ENSP00000362777	9606.ENSP00000367714	0	0	0	0	0.050	0	0	0.398	0.403
ATOH7	GAP43	9606.ENSP00000362777	9606.ENSP00000377372	0	0	0	0	0.080	0	0	0.526	0.545
ATP12A	F3	9606.ENSP00000218548	9606.ENSP00000334145	0	0	0	0	0	0	0	0.447	0.447
BDNF	MPO	9606.ENSP00000414303	9606.ENSP00000225275	0	0	0	0	0.054	0	0	0.466	0.473
BDNF	VGF	9606.ENSP00000414303	9606.ENSP00000249330	0	0	0	0	0.044	0	0	0.807	0.807
BDNF	TRPA1	9606.ENSP00000414303	9606.ENSP00000262209	0	0	0	0	0.058	0	0	0.499	0.508
BDNF	CRH	9606.ENSP00000414303	9606.ENSP00000276571	0	0	0	0	0.113	0	0	0.803	0.818
BDNF	NEUROD6	9606.ENSP00000414303	9606.ENSP00000297142	0	0	0	0	0.042	0	0	0.441	0.442
BDNF	PCSK1	9606.ENSP00000414303	9606.ENSP00000308024	0	0	0	0	0.049	0.061	0	0.434	0.451
BDNF	TUBB3	9606.ENSP00000414303	9606.ENSP00000320295	0	0	0	0	0.042	0	0	0.511	0.512
BDNF	SELE	9606.ENSP00000414303	9606.ENSP00000331736	0	0	0	0	0	0	0	0.434	0.434
BDNF	GAP43	9606.ENSP00000414303	9606.ENSP00000377372	0	0	0	0	0.062	0	0	0.742	0.748
