#node	identifier	node_degree
ABCC11	9606.ENSP00000378230	1
ABCC12	9606.ENSP00000311030	1
ABCC2	9606.ENSP00000497274	0
ADAMTS2	9606.ENSP00000251582	0
ADCYAP1	9606.ENSP00000462647	6
ADORA2A	9606.ENSP00000480012	5
AHSG	9606.ENSP00000273784	1
AKR1C2	9606.ENSP00000370129	1
ALOX12B	9606.ENSP00000497784	0
ATOH7	9606.ENSP00000362777	2
ATP12A	9606.ENSP00000218548	1
BDNF	9606.ENSP00000414303	14
BEX5	9606.ENSP00000446054	0
C21orf62	9606.ENSP00000418653	0
C3orf80	9606.ENSP00000313324	0
C6orf223	9606.ENSP00000426159	0
C7orf61	9606.ENSP00000327732	0
CCDC184	9606.ENSP00000320849	0
CCNA2	9606.ENSP00000481380	2
CHGB	9606.ENSP00000368244	4
CHRNA5	9606.ENSP00000299565	0
CITED1	9606.ENSP00000401764	0
CLEC18B	9606.ENSP00000341051	0
CLEC2L	9606.ENSP00000390661	0
CLEC4F	9606.ENSP00000272367	0
COLEC10	9606.ENSP00000332723	1
CPLX1	9606.ENSP00000305613	1
CRH	9606.ENSP00000276571	5
DHRS11	9606.ENSP00000482704	1
DLX4	9606.ENSP00000240306	0
DNAH11	9606.ENSP00000475939	0
DNASE1L2	9606.ENSP00000454562	0
DSG3	9606.ENSP00000257189	1
DSPP	9606.ENSP00000498766	0
EFCAB3	9606.ENSP00000403932	0
ELANE	9606.ENSP00000466090	5
EPS8L3	9606.ENSP00000358820	0
F3	9606.ENSP00000334145	6
FKBP5	9606.ENSP00000444810	2
GAP43	9606.ENSP00000377372	6
GCKR	9606.ENSP00000264717	0
GCNT4	9606.ENSP00000317027	0
GMNC	9606.ENSP00000406164	0
GNRH1	9606.ENSP00000276414	2
HEPACAM2	9606.ENSP00000390204	0
HES5	9606.ENSP00000367714	2
HIF3A	9606.ENSP00000366898	0
HIGD1C	9606.ENSP00000381473	0
HSPB3	9606.ENSP00000303394	3
HSPB7	9606.ENSP00000364870	1
IL1RL2	9606.ENSP00000264257	1
IL3	9606.ENSP00000296870	2
IL33	9606.ENSP00000370842	5
KCNE2	9606.ENSP00000290310	1
KCNE5	9606.ENSP00000361173	1
KIF2B	9606.ENSP00000268919	0
KLF15	9606.ENSP00000296233	0
KRT5	9606.ENSP00000252242	1
LBX2	9606.ENSP00000366789	0
LMNTD1	9606.ENSP00000407353	0
LRIT1	9606.ENSP00000361177	0
LRTM2	9606.ENSP00000446278	0
LYRM9	9606.ENSP00000368397	0
MAS1	9606.ENSP00000501180	0
MCHR1	9606.ENSP00000249016	1
MDH1B	9606.ENSP00000363533	0
MMP10	9606.ENSP00000279441	0
MPO	9606.ENSP00000225275	6
MRGPRF	9606.ENSP00000403660	0
NAT16	9606.ENSP00000300303	0
NEUROD6	9606.ENSP00000297142	3
NLRP14	9606.ENSP00000299481	0
NRN1	9606.ENSP00000480483	3
NUP210L	9606.ENSP00000357547	0
OTOGL	9606.ENSP00000447211	0
OVOL3	9606.ENSP00000487603	0
PCSK1	9606.ENSP00000308024	3
PDE10A	9606.ENSP00000355847	1
PLK4	9606.ENSP00000270861	2
PNMA3	9606.ENSP00000469445	0
PPEF1	9606.ENSP00000354871	0
PRKX	9606.ENSP00000262848	0
PRMT8	9606.ENSP00000372067	0
RBM3	9606.ENSP00000365950	0
RFX6	9606.ENSP00000332208	2
RFX8	9606.ENSP00000401536	0
RGS4	9606.ENSP00000397181	2
RPH3A	9606.ENSP00000374036	1
SAA2	9606.ENSP00000436126	1
SAP25	9606.ENSP00000481773	0
SELE	9606.ENSP00000331736	5
SERPINA5	9606.ENSP00000333203	2
SFTPA1	9606.ENSP00000397082	1
SGO1	9606.ENSP00000263753	2
SH2D5	9606.ENSP00000406026	0
SH2D6	9606.ENSP00000498488	0
SLC16A6	9606.ENSP00000319991	0
SLC38A2	9606.ENSP00000256689	1
SLC4A9	9606.ENSP00000427661	0
SLC6A9	9606.ENSP00000353791	1
SOWAHB	9606.ENSP00000334879	0
SPATA19	9606.ENSP00000299140	0
SPRED3	9606.ENSP00000345405	1
SPTSSB	9606.ENSP00000352097	0
STAT4	9606.ENSP00000351255	0
SUCNR1	9606.ENSP00000355156	0
TFCP2L1	9606.ENSP00000263707	0
TLDC2	9606.ENSP00000217320	0
TNFRSF6B	9606.ENSP00000359013	0
TRPA1	9606.ENSP00000262209	1
TSHR	9606.ENSP00000441235	1
TUBB3	9606.ENSP00000320295	2
VGF	9606.ENSP00000249330	3
VSNL1	9606.ENSP00000384719	0
WNT1	9606.ENSP00000293549	0
ZBBX	9606.ENSP00000390232	0
ZNF215	9606.ENSP00000278319	0
