#node	identifier	category	term ID	term description
ACO2	9606.ENSP00000216254	GO Process	GO:0001889	Liver development
ACO2	9606.ENSP00000216254	GO Process	GO:0006066	Alcohol metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0006082	Organic acid metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0006091	Generation of precursor metabolites and energy
ACO2	9606.ENSP00000216254	GO Process	GO:0006099	Tricarboxylic acid cycle
ACO2	9606.ENSP00000216254	GO Process	GO:0006101	Citrate metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0006102	Isocitrate metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0006950	Response to stress
ACO2	9606.ENSP00000216254	GO Process	GO:0007275	Multicellular organism development
ACO2	9606.ENSP00000216254	GO Process	GO:0008152	Metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0009060	Aerobic respiration
ACO2	9606.ENSP00000216254	GO Process	GO:0009987	Cellular process
ACO2	9606.ENSP00000216254	GO Process	GO:0015980	Energy derivation by oxidation of organic compounds
ACO2	9606.ENSP00000216254	GO Process	GO:0019752	Carboxylic acid metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0032501	Multicellular organismal process
ACO2	9606.ENSP00000216254	GO Process	GO:0032502	Developmental process
ACO2	9606.ENSP00000216254	GO Process	GO:0035900	Response to isolation stress
ACO2	9606.ENSP00000216254	GO Process	GO:0043436	Oxoacid metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0044237	Cellular metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0044238	Primary metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0044281	Small molecule metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0045333	Cellular respiration
ACO2	9606.ENSP00000216254	GO Process	GO:0048513	Animal organ development
ACO2	9606.ENSP00000216254	GO Process	GO:0048731	System development
ACO2	9606.ENSP00000216254	GO Process	GO:0048732	Gland development
ACO2	9606.ENSP00000216254	GO Process	GO:0048856	Anatomical structure development
ACO2	9606.ENSP00000216254	GO Process	GO:0050896	Response to stimulus
ACO2	9606.ENSP00000216254	GO Process	GO:0061008	Hepaticobiliary system development
ACO2	9606.ENSP00000216254	GO Process	GO:0071704	Organic substance metabolic process
ACO2	9606.ENSP00000216254	GO Process	GO:0072350	Tricarboxylic acid metabolic process
