#node	identifier	node_degree
ACO2	9606.ENSP00000216254	1
ANAPC16	9606.ENSP00000477760	0
CABYR	9606.ENSP00000483621	0
CRH	9606.ENSP00000276571	2
DHRS7B	9606.ENSP00000378887	0
DUSP6	9606.ENSP00000279488	1
GABRR2	9606.ENSP00000386029	0
GNRH1	9606.ENSP00000276414	1
KCNE5	9606.ENSP00000361173	0
KLF15	9606.ENSP00000296233	0
MPO	9606.ENSP00000225275	1
NAT16	9606.ENSP00000300303	0
PRKX	9606.ENSP00000262848	0
RABEPK	9606.ENSP00000362639	0
RAD52	9606.ENSP00000351284	0
RBM48	9606.ENSP00000265732	0
RPH3A	9606.ENSP00000374036	0
SELE	9606.ENSP00000331736	1
SGO1	9606.ENSP00000263753	0
SMAD4	9606.ENSP00000341551	0
SNRNP48	9606.ENSP00000339834	0
TRAPPC1	9606.ENSP00000302783	0
TXN2	9606.ENSP00000216185	1
VGF	9606.ENSP00000249330	0
