#node	identifier	domain_summary_url	annotation	other_names_and_aliases
ABCC11	9606.ENSP00000378230	ATP-binding cassette sub-family C member 11; Participates in physiological processes involving bile acids, conjugated steroids and cyclic nucleotides. Enhances the cellular extrusion of cAMP and cGMP. Stimulates the ATP-dependent uptake of a range of physiological and synthetic lipophilic anions, including the glutathione S-conjugates leukotriene C4 and dinitrophenyl S- glutathione, steroid sulfates such as dehydroepiandrosterone 3-sulfate (DHEAS) and estrone 3-sulfate, glucuronides such as estradiol 17-beta- D-glucuronide (E(2)17betaG), the monoanionic bile acids glycocholate and taur [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=1382:Pfam_ABC_membrane(167|431)+AAA(536|709)+Pfam_ABC_membrane(806|1092)+AAA(1167|1360)+	85320,A0A024R6Q6,A0A024R6R9,AAK19755.1,AAK58869.1,AAK76739.1,AAL99902.1,ABCC11,ABCC11-201,ABCC11-202,ABCC11-203,ABCC11-204,ABCC11-205,ABCC11-206,ABCC11-207,ABCC11-208,ABCC11-209,ABCCB_HUMAN,AC007600,AC096996,AF352582,AF367202,AF411579,ATP binding cassette subfamily C member 11,ATP-binding cassette sub-family C member 11,AY040219,CAB032513,CCDS10732,CCDS10732.1,CCDS10733,CCDS10733.1,CH471092,CHEMBL2073702,EAW82715.1,EAW82716.1,EAW82717.1,EAW82718.1,EAW82719.1,EAW82720.1,EAW82721.1,EAW82722.1,ENSG00000121270,ENSP00000240555,ENSP00000311326,ENSP00000312357,ENSP00000312390,ENSP00000320527,ENSP00000338854,ENSP00000349017,ENSP00000378230,ENSP00000378231,ENSP00000438530,ENSP00000456268,ENSP00000457229,ENST00000240555,ENST00000311088,ENST00000311098,ENST00000311108,ENST00000319538,ENST00000337305,ENST00000353782,ENST00000353782.9,ENST00000356608,ENST00000356608.6,ENST00000394747,ENST00000394747.5,ENST00000394748,ENST00000394748.5,ENST00000537808,ENST00000565329,ENST00000565329.1,ENST00000565487,ENST00000565487.1,ENST00000567385,ENST00000567385.5,ENST00000569172,ENST00000569172.1,ENST00000569991,ENST00000569991.1,EWWD,H3BRJ2,HGNC:14639,HPA031980,HPA031981,HPA031982,MRP8,Multidrug resistance-associated protein 8,NM_001370496,NM_001370496.1,NM_001370497,NM_001370497.1,NM_032583,NM_032583.3,NM_032583.4,NM_033151,NM_033151.3,NM_033151.4,NM_145186,NM_145186.2,NM_145186.3,NP_001357425,NP_001357425.1,NP_001357426,NP_001357426.1,NP_115972,NP_115972.2,NP_149163,NP_149163.2,NP_660187,NP_660187.1,NX_Q96J66,OMIM:607040,OTTHUMG00000133146,Q8TDJ0,Q96J66,Q96JA6,Q9BX80,R-HSA-382551,R-HSA-382556,UPI0000052711,UPI000013F0F6,UPI0002466F0A,WW,XM_011523397,XM_011523397.2,XM_017023795.1,XM_017023796.1,XM_017023797,XM_017023797.1,XM_017023797.2,XM_017023798,XM_017023798.1,XM_017023798.2,XM_017023799,XM_017023799.1,XM_017023799.2,XM_017023800,XM_017023800.1,XM_017023800.2,XM_017023801,XM_017023801.2,XM_017023802,XM_017023802.2,XM_017023803,XM_017023803.1,XM_024450475,XM_024450475.1,XP_011521699,XP_011521699.1,XP_016879284.1,XP_016879285.1,XP_016879286,XP_016879286.1,XP_016879287,XP_016879287.1,XP_016879288,XP_016879288.1,XP_016879289,XP_016879289.1,XP_016879290,XP_016879290.1,XP_016879291,XP_016879291.1,XP_016879292,XP_016879292.1,XP_024306243,XP_024306243.1,XR_001752012,XR_001752012.1,hsa:85320,uc002eff.1,uc059txd.1
ABCC12	9606.ENSP00000311030	Multidrug resistance-associated protein 9; Probable transporter.	https://smart.embl.de/smart/DDvec.cgi?smart=1359:Pfam_ABC_membrane(123|391)+AAA(505|678)+Pfam_ABC_membrane(795|1070)+AAA(1146|1339)+	94160,A0A024R6Q5,A0A3B3ITL4,AAK76740.1,AAL79528.1,AAL79529.1,AAL99900.1,AAL99901.1,AAO40749.1,ABCC12,ABCC12-201,ABCC12-202,ABCC12-203,ABCC12-204,ABCC12-205,ABCC12-206,ABCC12-207,ABCC12-208,ABCC12-209,ABCC12-210,ABCC12-211,ABCC12-212,ABCC12-213,AC096996,AF395908,AF395909,AF411577,AF411578,AK302520,ATP binding cassette subfamily C member 12,ATP-binding cassette sub-family C member 12,AY040220,AY196326,B4DYN2,BAG63794.1,BC036378,CCDS10730,CCDS10730.1,CH471092,E9PHY2,EAW82705.1,EAW82706.1,EAW82708.1,ENSG00000140798,ENSP00000268450,ENSP00000311030,ENSP00000322090,ENSP00000324877,ENSP00000343319,ENSP00000401855,ENSP00000408611,ENSP00000413046,ENSP00000431232,ENSP00000431354,ENSP00000433333,ENSP00000434510,ENSP00000435715,ENSP00000436647,ENSP00000437047,ENSP00000497789,ENST00000268450,ENST00000311303,ENST00000311303.7,ENST00000316435,ENST00000316464,ENST00000339718,ENST00000416054,ENST00000448542,ENST00000449939,ENST00000497206,ENST00000497206.6,ENST00000526251,ENST00000526251.1,ENST00000527640,ENST00000527640.1,ENST00000528693,ENST00000528693.5,ENST00000529084,ENST00000529084.5,ENST00000529504,ENST00000529504.5,ENST00000532355,ENST00000532355.1,ENST00000532494,ENST00000532494.5,ENST00000533185,ENST00000533185.1,ENST00000533639,ENST00000533639.5,ENST00000534418,ENST00000534418.5,ENST00000649885,ENST00000649885.1,HGNC:14640,HPA043100,MRP9,MRP9_HUMAN,Multidrug resistance-associated protein 9,NM_033226,NM_033226.2,NP_150229,NP_150229.2,NX_Q96J65,OMIM:607041,OTTHUMG00000133143,Q49AL2,Q8TAF0,Q8TEY2,Q96J65,UPI000000D8D1,UPI000013FDA9,UPI0000163C16,UPI0000456987,UPI0000E44565,UPI00017A80DF,UPI0001F77EE3,UPI000E6ED992,URS0000D6D7F8,URS0000D6D961,URS0000D6DD3F,hsa:94160,uc002efc.1
ABCC2	9606.ENSP00000497274	Canalicular multispecific organic anion transporter 1; Mediates hepatobiliary excretion of numerous organic anions and conjugated organic anions such as methotrexate, 17beta-estradiol 17-glucosiduronic acid and leukotriene C4. Also transports sulfated bile salt such as taurolithocholate sulfate. May function as a cellular cisplatin transporter. Belongs to the ABC transporter superfamily. ABCC family. Conjugate transporter (TC 3.A.1.208) subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=1545:TRANS(30|52)+TRANS(64|86)+TRANS(96|117)+TRANS(129|151)+TRANS(161|183)+Pfam_ABC_membrane(322|593)+AAA(663|838)+Pfam_ABC_membrane(979|1251)+AAA(1326|1511)+	1244,7.6.2.2,A0A3B3IRU4,A0A3B3IRZ2,A0A3B3IS94,A0A3B3ITG8,AAB09422.1,AAB39892.1,AAI36420.1,ABC30,ABCC2,ABCC2-201,ABCC2-202,ABCC2-203,ABCC2-204,ABCC2-205,ABCC2-206,ABCC2-207,ABCC2-208,ABCC2-209,ABCC2-210,AJ132244,AJ132287,AJ132288,AJ132289,AJ132290,AJ132291,AJ132292,AJ132293,AJ132294,AJ132295,AJ132296,AJ132297,AJ132298,AJ132299,AJ132300,AJ132301,AJ132302,AJ132303,AJ132304,AJ132305,AJ132306,AJ132307,AJ132308,AJ132309,AJ132310,AJ132311,AJ132312,AJ132313,AJ132314,AJ245625,AJ245626,AJ245627,AL133353,AL392107,ATP binding cassette subfamily C member 2,ATP-binding cassette sub-family C member 2,B2RMT8,BC136419,CAA65259.2,CAB037271,CAB45309.1,CCDS7484,CCDS7484.1,CH471066,CHEMBL5748,CMOAT,CMOAT1,CMRP,Canalicular multidrug resistance protein,DJS,EAW49853.1,ENSG00000023839,ENSP00000266063,ENSP00000359463,ENSP00000359478,ENSP00000496847,ENSP00000496972,ENSP00000497248,ENSP00000497274,ENSP00000497778,ENSP00000498120,ENST00000266063,ENST00000370434,ENST00000370434.1,ENST00000370449,ENST00000496621,ENST00000496621.1,ENST00000647814,ENST00000647814.1,ENST00000647836,ENST00000647836.1,ENST00000648324,ENST00000648324.1,ENST00000648523,ENST00000648523.1,ENST00000648689,ENST00000648689.1,ENST00000649459,ENST00000649459.1,ENST00000649493,ENST00000649493.1,ENST00000649932,ENST00000649932.1,HGNC:53,HPA004860,LRG_1208,LRG_1208t1,MRP2,MRP2_HUMAN,Multidrug resistance-associated protein 2,NM_000392,NM_000392.4,NM_000392.5,NP_000383,NP_000383.1,NP_000383.2,NX_Q92887,OMIM:601107,OTTHUMG00000018895,Q14022,Q5T2B1,Q92500,Q92798,Q92887,Q99663,Q9UMS2,R-HSA-1643685,R-HSA-382551,R-HSA-382556,R-HSA-5619084,R-HSA-5619115,R-HSA-5679001,U49248,U63970,UPI000013D6CA,UPI00001F9539,UPI000E6E5F79,UPI000E6E7A18,UPI000E6E80B5,URS0000E9FF00,X96395,XM_006717630,XM_006717630.3,XM_011539291,XM_011539291.3,XP_006717693,XP_006717693.1,XP_011537593,XP_011537593.1,XR_945604,XR_945604.3,XR_945605,XR_945605.3,cMRP,hsa:1244,uc001kqf.3
ADAMTS2	9606.ENSP00000251582	A disintegrin and metalloproteinase with thrombospondin motifs 2; Cleaves the propeptides of type I and II collagen prior to fibril assembly (By similarity). Does not act on type III collagen (By similarity). Cleaves lysyl oxidase LOX at a site downstream of its propeptide cleavage site to produce a short LOX form with reduced collagen-binding activity.	https://smart.embl.de/smart/DDvec.cgi?smart=1211:SIGNAL(1|29)+Pfam_Pep_M12B_propep(57|212)+Pfam_Reprolysin(267|470)+TSP1(564|616)+Pfam_ADAM_spacer1(723|837)+TSP1(855|914)+TSP1(917|976)+TSP1(978|1029)+	3.4.24.14,9509,A0A1B0GTY3,AC008544,AC010216,AC109479,ADAM-TS 2,ADAM-TS2,ADAMTS-2,ADAMTS-3,ADAMTS2,ADAMTS2-201,ADAMTS2-202,ADAMTS2-203,ADAMTS2-204,ADAMTS2-205,AJ003125,ATS2_HUMAN,CAA05880.1,CCDS34311,CCDS34311.1,CCDS4444,CCDS4444.1,EC 3.4.24.14,EDSDERMS,ENSG00000087116,ENSP00000251582,ENSP00000274609,ENSP00000377104,ENSP00000489888,ENST00000251582,ENST00000251582.11,ENST00000274609,ENST00000274609.5,ENST00000393460,ENST00000518335,ENST00000518335.3,ENST00000522937,ENST00000522937.1,ENST00000523450,ENST00000523450.1,HGNC:218,HPA028363,HPA028444,KF458071,M12.301,NM_014244,NM_014244.4,NM_014244.5,NM_021599,NM_021599.3,NM_021599.4,NPI,NP_055059,NP_055059.2,NP_067610,NP_067610.1,NX_O95450,O95450,OMIM:604539,OTTHUMG00000130915,PC I-NP,PCI-NP,PCINP,PCPNI,PC_I-NP,PNPI,Procollagen I N-proteinase,Procollagen N-endopeptidase,R-HSA-1474244,R-HSA-1474290,R-HSA-1643685,R-HSA-1650814,R-HSA-3781865,R-HSA-3906995,R-HSA-392499,R-HSA-5083635,R-HSA-5173105,R-HSA-5173214,R-HSA-597592,UPI000002A492,UPI00001AE729,UPI000E6EBA44,URS0000D6DFC4,hPCPNI,hsa:9509,pNPI,procollagen I N-proteinase,procollagen N-endopeptidase,uc003mjw.3
ADCYAP1	9606.ENSP00000462647	Pituitary adenylate cyclase-activating polypeptide 27; Binding to its receptor activates G proteins and stimulates adenylate cyclase in pituitary cells. Promotes neuron projection development through the RAPGEF2/Rap1/B-Raf/ERK pathway. In chromaffin cells, induces long-lasting increase of intracellular calcium concentrations and neuroendocrine secretion (By similarity). Involved in the control of glucose homeostasis, induces insulin secretion by pancreatic beta cells (By similarity). ECO:0000250|UniProtKB:P13589, ; Belongs to the glucagon family.	https://smart.embl.de/smart/DDvec.cgi?smart=176:SIGNAL(1|24)+GLUCA(83|109)+GLUCA(132|158)+	116,1GEA,2D2P,2JOD,AAB21470.1,AAH93837.1,AAI01804.1,ADCYAP1,ADCYAP1-201,ADCYAP1-202,ADCYAP1-203,ADCYAP1-204,AK313050,Adenylate cyclase activating polypeptide 1,B2R7N4,BAG35881.1,BC093837,BC101803,CAA42962.1,CCDS11825,CCDS11825.1,CHEMBL5692,ENSG00000141433,ENSP00000269200,ENSP00000383078,ENSP00000411658,ENSP00000462647,ENST00000269200,ENST00000269200.5,ENST00000400219,ENST00000450565,ENST00000450565.7,ENST00000579794,ENST00000579794.1,ENST00000581602,ENST00000581602.1,HGNC:241,HPA065887,NM_001099733,NM_001099733.1,NM_001099733.2,NM_001117,NM_001117.4,NM_001117.5,NP_001093203,NP_001093203.1,NP_001108,NP_001108.2,NX_P18509,OMIM:102980,OTTHUMG00000131479,P18509,PACAP,PACAP-27,PACAP-38,PACAP-related peptide,PACAP27,PACAP38,PACA_HUMAN,PRP-48,Q52LQ0,R-HSA-162582,R-HSA-166520,R-HSA-187015,R-HSA-187024,R-HSA-187037,R-HSA-372790,R-HSA-373080,R-HSA-388396,R-HSA-418555,R-HSA-420092,R-HSA-500792,R-HSA-9006934,S83513,UPI000013D805,X60435,XM_005258081,XM_005258081.4,XP_005258138,XP_005258138.2,adenylate cyclase activating polypeptide 1,hsa:116,prepro-PACAP,uc010dkg.4,uc010dkh.5
ADORA2A	9606.ENSP00000480012	Adenosine receptor A2a; Receptor for adenosine (By similarity). The activity of this receptor is mediated by G proteins which activate adenylyl cyclase (By similarity); Belongs to the G-protein coupled receptor 1 family.	https://smart.embl.de/smart/DDvec.cgi?smart=412:Pfam_7TM_GPCR_Srsx(17|303)+	135,1MMH,1UPE,2YDO,2YDV,3EML,3PWH,3QAK,3REY,3RFM,3UZA,3UZC,3VG9,3VGA,4EIY,4UG2,4UHR,5G53,5IU4,5IU7,5IU8,5IUA,5IUB,5JTB,5K2A,5K2B,5K2C,5K2D,5MZJ,5MZP,5N2R,5NLX,5NM2,5NM4,5OLG,5OLH,5OLO,5OLV,5OLZ,5OM1,5OM4,5UIG,5UVI,5VRA,5WF5,5WF6,6AQF,6GDG,6GT3,6JZH,6MH8,6PS7,A2aR,AA2AR_HUMAN,AAA58356.1,AAA83270.1,AAB23956.1,AAH13780.1,AAN01273.1,AAP35645.1,ADORA2,ADORA2A,ADORA2A-201,ADORA2A-202,ADORA2A-203,ADORA2A-204,ADORA2A-205,ADORA2A-206,ADORA2A-207,ADORA2A-208,ADORA2A-209,ADORA2A-210,ADORA2A-211,ADORA2A-212,ADORA2A-213,ADORA2A-214,ADORA2A-215,AHW56401.1,AK312946,AP000355,AY136747,Adenosine A2a receptor,Adenosine receptor A2a,B2R7E0,BAG35787.1,BC013780,BT006999,C9J0Z4,C9J3T2,C9JFS2,C9JQD8,CAA48504.1,CAB001943,CAG30253.1,CCDS13826,CCDS13826.1,CH471095,CHEMBL251,CR456367,EAW59658.1,ENSG00000128271,ENSP00000249001,ENSP00000333031,ENSP00000336630,ENSP00000351480,ENSP00000385337,ENSP00000394368,ENSP00000397071,ENSP00000400190,ENSP00000404497,ENSP00000414802,ENSP00000439848,ENSP00000473799,ENSP00000474097,ENSP00000474895,ENSP00000475000,ENSP00000480012,ENSP00000481552,ENSP00000483102,ENST00000249001,ENST00000332494,ENST00000337539,ENST00000337539.11,ENST00000358654,ENST00000406084,ENST00000417596,ENST00000424232,ENST00000424232.5,ENST00000436735,ENST00000436735.1,ENST00000439591,ENST00000439591.1,ENST00000444262,ENST00000444262.6,ENST00000464977,ENST00000464977.5,ENST00000467385,ENST00000467385.5,ENST00000472248,ENST00000472248.5,ENST00000486108,ENST00000486108.1,ENST00000486351,ENST00000486351.1,ENST00000496258,ENST00000496258.1,ENST00000496497,ENST00000496497.1,ENST00000541988,ENST00000610595,ENST00000610595.4,ENST00000611543,ENST00000611543.4,ENST00000618076,ENST00000618076.3,HGNC:263,HPA065566,HPA075997,KJ534761,M97370,NM_000675,NM_000675.5,NM_000675.6,NM_001278497,NM_001278497.1,NM_001278498,NM_001278498.1,NM_001278499,NM_001278499.1,NM_001278499.2,NM_001278500,NM_001278500.1,NP_000666,NP_000666.2,NP_001265426,NP_001265426.1,NP_001265427,NP_001265427.1,NP_001265428,NP_001265428.1,NP_001265429,NP_001265429.1,NX_P29274,OMIM:102776,OTTHUMG00000150761,P29274,R-HSA-162582,R-HSA-166520,R-HSA-187015,R-HSA-187024,R-HSA-187037,R-HSA-372790,R-HSA-373076,R-HSA-388396,R-HSA-392499,R-HSA-417973,R-HSA-418038,R-HSA-418555,R-HSA-500792,R-HSA-5683826,R-HSA-9006934,RDC8,S46950,S4R2Z8,S4R3A7,S4R429,U40770,U40771,UPI00000503E2,UPI0001610F48,UPI0001610F49,UPI0001610F4A,UPI000333506F,UPI0003335188,UPI00033351E2,UPI00033351E4,UPI0003F47C1A,URS00008B2512,URS00008B6214,X5DNB4,X68486,adenosine A2a receptor,hsa:135,uc002zzy.6
AHSG	9606.ENSP00000273784	Alpha-2-HS-glycoprotein chain A; Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Shows affinity for calcium and barium ions; Belongs to the fetuin family.	https://smart.embl.de/smart/DDvec.cgi?smart=368:SIGNAL(1|18)+CY(21|133)+CY(146|249)+	197,A2HS,A8K9N6,AAA51683.1,AAF69649.1,AAH48198.1,AAH52590.1,AB038689,AC068631,AF119895,AHS,AHSG,AHSG-201,AHSG-202,AHSG-203,AK292751,AK312969,APMR1,Alpha 2-HS glycoprotein,Alpha-2-HS-glycoprotein,Alpha-2-HS-glycoprotein chain A,Alpha-2-HS-glycoprotein chain B,Alpha-2-Z-globulin,B2R7G1,BAA22651.1,BAA22652.1,BAA92189.1,BAF85440.1,BAG35808.1,BC048198,BC052590,Ba-alpha-2-glycoprotein,C9JV77,CAB026209,CCDS3278,CCDS3278.1,CCDS87176,CCDS87176.1,CH471052,D67012,D67013,EAW78189.1,ENSG00000145192,ENSP00000273784,ENSP00000393887,ENSP00000438707,ENST00000273784,ENST00000273784.5,ENST00000411641,ENST00000478441,ENST00000478441.1,ENST00000541510,FETUA,FETUA_HUMAN,Fetuin-A,HGNC:349,HPA001524,HPA001525,HSGA,I25.020,LI25-004,M16961,NM_001354571,NM_001354571.2,NM_001354572,NM_001354572.2,NM_001354573,NM_001354573.2,NM_001622,NM_001622.2,NM_001622.4,NP_001341500,NP_001341500.1,NP_001341501,NP_001341501.1,NP_001341502,NP_001341502.1,NP_001613,NP_001613.2,NX_P02765,O14961,O14962,OMIM:138680,OTTHUMG00000156605,P02765,PRO2743,Q9P152,R-HSA-109582,R-HSA-114608,R-HSA-168249,R-HSA-168256,R-HSA-381426,R-HSA-392499,R-HSA-597592,R-HSA-6798695,R-HSA-76002,R-HSA-76005,R-HSA-8957275,UPI000013D9D0,UPI0000D4CD42,alpha 2-HS glycoprotein,fetuin A,hsa:197,uc003fqk.5
AKR1C2	9606.ENSP00000370129	Aldo-keto reductase family 1 member C2; Works in concert with the 5-alpha/5-beta-steroid reductases to convert steroid hormones into the 3-alpha/5-alpha and 3-alpha/5- beta-tetrahydrosteroids. Catalyzes the inactivation of the most potent androgen 5-alpha-dihydrotestosterone (5-alpha-DHT) to 5-alpha- androstane-3-alpha,17-beta-diol (3-alpha-diol). Has a high bile-binding ability.	https://smart.embl.de/smart/DDvec.cgi?smart=323:Pfam_Aldo_ket_red(18|301)+	1.-.-.-,1.1.1.213,1.1.1.357,1.3.1.20,1646,1IHI,1J96,1XJB,2HDJ,2IPJ,3-alpha-HSD3,3alpha-hydroxysteroid 3-dehydrogenase,4JQ1,4JQ2,4JQ3,4JQ4,4JQA,4JTQ,4JTR,4L1W,4L1X,4XO6,4XO7,A8K2N9,AAA20937.1,AAB38486.1,AAD14013.1,AAH07024.1,AAH63574.1,AAP35299.1,AB021654,AB031084,AB032153,AK1C2_HUMAN,AK290304,AK296419,AK296686,AKR1C-pseudo,AKR1C2,AKR1C2-201,AKR1C2-202,AKR1C2-203,AKR1C2-204,AKR1C2-205,AKR1C2-206,AKR1C2-207,AKR1C2-208,AKR1C2-209,AKR1C2-210,AL391427,AL713867,Aldo-keto reductase family 1 member C2,B4DK69,B4DKR9,BAA36169.1,BAA92884.1,BAA92891.1,BABP,BAF82993.1,BAG59081.1,BAG59281.1,BC007024,BC063574,BT006653,CAB047304,CCDS44350,CCDS44350.1,CCDS7062,CCDS7062.1,CCDS81438,CCDS81438.1,CHEMBL5847,Chlordecone reductase homolog HAKRD,DD,DD-2,DD/BABP,DD2,DDH2,Dihydrodiol dehydrogenase 2,EC 1.1.1.213,EC 1.1.1.357,EC 1.3.1.20,ENSG00000151632,ENSP00000307205,ENSP00000319119,ENSP00000327636,ENSP00000331236,ENSP00000332243,ENSP00000332631,ENSP00000332949,ENSP00000370020,ENSP00000370129,ENSP00000385221,ENSP00000392694,ENSP00000397161,ENSP00000408440,ENSP00000474566,ENST00000305652,ENST00000322325,ENST00000327643,ENST00000327819,ENST00000328806,ENST00000331192,ENST00000332825,ENST00000380646,ENST00000380753,ENST00000380753.8,ENST00000407674,ENST00000421196,ENST00000421196.7,ENST00000455179,ENST00000455190,ENST00000455190.2,ENST00000460124,ENST00000460124.5,ENST00000603073,ENST00000603073.1,ENST00000604184,ENST00000604184.1,ENST00000604428,ENST00000604428.5,ENST00000604439,ENST00000604439.1,ENST00000604507,ENST00000604507.5,ENST00000604711,ENST00000604711.1,HAKRD,HBAB,HGNC:385,HPA068265,L32592,MCDR2,NM_001135241,NM_001135241.2,NM_001321027,NM_001321027.1,NM_001354,NM_001354.5,NM_205845,NM_205845.2,NP_001128713,NP_001128713.1,NP_001307956,NP_001307956.1,NP_001345,NP_001345.1,NP_995317,NP_995317.1,NX_P52895,OMIM:600450,OTTHUMG00000017584,P52895,Q14133,Q5SR16,Q7M4N1,Q96A71,R-HSA-1430728,R-HSA-192105,R-HSA-193368,R-HSA-193775,R-HSA-193807,R-HSA-194068,R-HSA-556833,R-HSA-8957322,S4R3P0,S68330,SRXY8,TDD,Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase,Type III 3-alpha-hydroxysteroid dehydrogenase,U05598,UPI0000111D9F,UPI0001662CC4,UPI00017A7557,UPI000333507A,URS00008B5D22,URS00008B6285,URS00008BA959,URS00008C2E52,aldo-keto reductase family 1 member C2,hsa:1646,testicular 17,20-desmolase deficiency,uc010qao.2,uc057rik.1
ALOX12B	9606.ENSP00000497784	Arachidonate 12-lipoxygenase, 12R-type; Catalyzes the regio and stereo-specific incorporation of a single molecule of dioxygen into free and esterified polyunsaturated fatty acids generating lipid hydroperoxides that can be further reduced to the corresponding hydroxy species. In the skin, acts upstream of ALOXE3 on the lineolate moiety of esterified omega-hydroxyacyl-sphingosine (EOS) ceramides to produce an epoxy-ketone derivative, a crucial step in the conjugation of omega-hydroxyceramide to membrane proteins. Therefore plays a crucial role in the synthesis of corneocytes lipid enve [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=701:LH2(2|116)+Pfam_Lipoxygenase(230|684)+	1.13.11.-,1.13.11.31,12R-LOX,12R-lipoxygenase,242,A0A3B3IRK2,AAC39770.1,AAC79680.1,AAH41058.1,AC129492,AF038461,AF059250,AJ305026,AJ305027,ALOX12B,ALOX12B-201,ALOX12B-202,ALOX12B-203,ALOX12B-204,ALOX12B-205,ALOX12B-206,ARCI2,Arachidonate 12-lipoxygenase (R-type),Arachidonate 12-lipoxygenase, 12R type,Arachidonate 12-lipoxygenase, 12R-type,BC041058,CAC34520.1,CCDS11129,CCDS11129.1,EC 1.13.11.-,EC 1.13.11.31,ENSG00000179477,ENSP00000315167,ENSP00000369510,ENSP00000496845,ENSP00000497784,ENST00000319144,ENST00000380164,ENST00000577351,ENST00000577351.5,ENST00000583276,ENST00000583276.5,ENST00000584116,ENST00000584116.1,ENST00000647874,ENST00000647874.1,ENST00000649809,ENST00000649809.1,ENST00000650441,ENST00000650441.1,Epidermis-type lipoxygenase 12,HGNC:430,HPA024002,LRG_1264,LRG_1264t1,LX12B_HUMAN,NM_001139,NM_001139.2,NM_001139.3,NP_001130,NP_001130.1,NX_O75342,O75342,OMIM:603741,OTTHUMG00000108180,R-HSA-1430728,R-HSA-2142712,R-HSA-2142753,R-HSA-556833,R-HSA-8978868,UPI000000D996,UPI000E6E5EC0,arachidonate 12-lipoxygenase, 12R type,hsa:242,uc002gjy.1
ATOH7	9606.ENSP00000362777	Protein atonal homolog 7; Transcription factor involved in the differentiation of retinal ganglion cells.	https://smart.embl.de/smart/DDvec.cgi?smart=152:HLH(46|98)+	220202,AAH32621.1,AAL11911.1,AB593108,AB593109,AF418922,ATH5,ATOH7,ATOH7-201,ATOH7_HUMAN,Atonal bHLH transcription factor 7,Atonal protein 1/7,BAJ84048.1,BAJ84049.1,BC032621,BHLHA13,BK000277,CCDS7276,CCDS7276.1,CH471083,Class A basic helix-loop-helix protein 13,DAA01057.1,EAW54269.1,ENSG00000179774,ENSP00000319247,ENSP00000342881,ENSP00000362777,ENST00000313391,ENST00000341741,ENST00000373673,ENST00000373673.4,F1T0H4,HGNC:13907,HPA027008,Helix-loop-helix protein hATH-5,Math5,NCRNA,NM_145178,NM_145178.3,NM_145178.4,NP_660161,NP_660161.1,NX_Q8N100,OMIM:609875,OTTHUMG00000018346,PHPVAR,Protein atonal homolog 7,Q8N100,RNANC,UPI000006CD31,atonal bHLH transcription factor 7,atonal homolog 7 (Drosophila),atonal homolog bHLH transcription factor 7,bHLHa13,hATH5,hsa:220202,uc001jnq.4
